subject,condition,trial,band,angle_rad
10,a75_an,11,Delta,3.254139115448455
10,a75_an,12,Delta,4.196086942149558
10,a75_an,13,Delta,5.185922061570162
10,a75_an,15,Delta,4.995541248382686
10,a75_an,1,Theta,3.2171826759959754
10,a75_an,2,Theta,2.2286326718966447
10,a75_an,3,Theta,3.4956202974540314
10,a75_an,4,Theta,0.12028007128989339
10,a75_an,5,Theta,3.547092080611148
10,a75_an,6,Theta,5.047953977417906
10,a75_an,7,Theta,4.400291838303351
10,a75_an,8,Theta,0.017873578026265494
10,a75_an,9,Theta,0.781429822725772
10,a75_an,10,Theta,5.676403322234059
10,a75_an,11,Theta,3.3575206837987923
10,a75_an,12,Theta,4.061469749452656
10,a75_an,13,Theta,5.420471283943441
10,a75_an,15,Theta,5.051397806184475
10,a75_an,1,Alpha,1.3377079828200524
10,a75_an,2,Alpha,0.622064437416557
10,a75_an,3,Alpha,6.093080481751414
10,a75_an,4,Alpha,0.00035378796220964816
10,a75_an,5,Alpha,0.36025319849072185
10,a75_an,6,Alpha,2.921251795058909
10,a75_an,7,Alpha,2.3078810482849628
10,a75_an,8,Alpha,3.626517397744777
10,a75_an,9,Alpha,3.0387557030533845
10,a75_an,10,Alpha,3.1284176060530764
10,a75_an,11,Alpha,5.875014439796055
10,a75_an,12,Alpha,1.3336184097818446
10,a75_an,13,Alpha,3.151829006114278
10,a75_an,15,Alpha,2.808651295572643
10,a75_an,1,Beta,2.7540498396152078
10,a75_an,2,Beta,5.949366516919685
10,a75_an,3,Beta,5.597981960456125
10,a75_an,4,Beta,1.629612726961693
10,a75_an,5,Beta,3.0749833957841464
10,a75_an,6,Beta,4.120198724105381
10,a75_an,7,Beta,2.4986980183487018
10,a75_an,8,Beta,3.8566142380734183
10,a75_an,9,Beta,1.6819593792955896
10,a75_an,10,Beta,1.8188838275401098
10,a75_an,11,Beta,5.497552336828068
10,a75_an,12,Beta,2.015375980538248
10,a75_an,13,Beta,4.7953654843416444
10,a75_an,15,Beta,3.2739893549975667
11,a50_an,1,Delta,2.359123491943993
11,a50_an,2,Delta,2.314000371460466
11,a50_an,3,Delta,0.9594246012609263
11,a50_an,4,Delta,2.3539910768076617
11,a50_an,5,Delta,5.321377838321382
11,a50_an,6,Delta,4.534342334577473
11,a50_an,7,Delta,2.1445600948167347
11,a50_an,8,Delta,4.592041861334581
11,a50_an,9,Delta,2.1606923127666193
11,a50_an,10,Delta,3.059873088009374
11,a50_an,11,Delta,5.867344403689701
11,a50_an,12,Delta,5.093937578506773
11,a50_an,13,Delta,0.8416923570730556
11,a50_an,14,Delta,5.520205483780285
11,a50_an,15,Delta,3.9796183063960475
11,a50_an,16,Delta,4.005486931523596
11,a50_an,17,Delta,4.501986865852244
11,a50_an,18,Delta,4.724113176833193
11,a50_an,19,Delta,2.684427228737234
11,a50_an,20,Delta,4.511570759270641
11,a50_an,21,Delta,5.268705942845889
11,a50_an,22,Delta,4.586981204641949
11,a50_an,23,Delta,1.8967823491986135
11,a50_an,24,Delta,3.3195557961665676
11,a50_an,25,Delta,2.749463060749827
11,a50_an,26,Delta,3.7683331772381683
11,a50_an,27,Delta,4.189170309178564
11,a50_an,28,Delta,2.995044015953717
11,a50_an,29,Delta,3.088512156977937
11,a50_an,30,Delta,1.5081140980881484
