subject,label,condition,trial,band,angle_rad
2,chan83-chan84,Voluntary_OutcomeOnsetReportSound,35,Delta,2.043586944098117
2,chan83-chan84,Voluntary_OutcomeOnsetReportSound,36,Delta,4.422454326439674
2,chan83-chan84,Voluntary_OutcomeOnsetReportSound,37,Delta,1.6652231802545134
2,chan83-chan84,Voluntary_OutcomeOnsetReportSound,38,Delta,1.3798340137201044
2,chan83-chan84,Voluntary_OutcomeOnsetReportSound,39,Delta,1.7425255111552602
2,chan83-chan84,Voluntary_OutcomeOnsetReportSound,40,Delta,2.0290128656835438
2,chan83-chan84,Voluntary_OutcomeOnsetReportSound,41,Delta,4.8298000528698815
2,chan83-chan84,Voluntary_OutcomeOnsetReportSound,42,Delta,4.557944138114431
2,chan83-chan84,Voluntary_OutcomeOnsetReportSound,43,Delta,1.7453182592700045
2,chan83-chan84,Voluntary_OutcomeOnsetReportSound,44,Delta,2.481358795184913
2,chan83-chan84,Voluntary_OutcomeOnsetReportSound,45,Delta,2.2891621144909875
2,chan83-chan84,Voluntary_OutcomeOnsetReportSound,46,Delta,1.867391449625107
2,chan83-chan84,Voluntary_OutcomeOnsetReportSound,47,Delta,0.9775880021714526
2,chan83-chan84,Voluntary_OutcomeOnsetReportSound,48,Delta,1.1994668650483258
2,chan83-chan84,Voluntary_OutcomeOnsetReportSound,49,Delta,2.416905290834684
2,chan83-chan84,Voluntary_OutcomeOnsetReportSound,50,Delta,4.769148211774333
2,chan83-chan84,Voluntary_OutcomeOnsetReportSound,51,Delta,2.169575565181652
2,chan83-chan84,Voluntary_OutcomeOnsetReportSound,53,Delta,1.5617648765095098
2,chan83-chan84,Voluntary_OutcomeOnsetReportSound,54,Delta,4.749557074228416
2,chan83-chan84,Voluntary_OutcomeOnsetReportSound,55,Delta,3.3520258040810678
2,chan83-chan84,Voluntary_OutcomeOnsetReportSound,56,Delta,4.798993075154757
2,chan83-chan84,Voluntary_OutcomeOnsetReportSound,57,Delta,3.1392095578748815
2,chan83-chan84,Voluntary_OutcomeOnsetReportSound,58,Delta,2.76660635443185
2,chan83-chan84,Voluntary_OutcomeOnsetReportSound,59,Delta,0.3840650244101377
2,chan83-chan84,Voluntary_OutcomeOnsetReportSound,60,Delta,2.8645404079866275
2,chan83-chan84,Voluntary_OutcomeOnsetReportSound,1,Theta,2.572346972820337
2,chan83-chan84,Voluntary_OutcomeOnsetReportSound,2,Theta,4.258291479996449
2,chan83-chan84,Voluntary_OutcomeOnsetReportSound,3,Theta,3.751510359530361
2,chan83-chan84,Voluntary_OutcomeOnsetReportSound,4,Theta,1.6637423980770234
2,chan83-chan84,Voluntary_OutcomeOnsetReportSound,5,Theta,2.5804580536472943
2,chan83-chan84,Voluntary_OutcomeOnsetReportSound,7,Theta,5.54046111205357
2,chan83-chan84,Voluntary_OutcomeOnsetReportSound,8,Theta,0.4966053527658173
2,chan83-chan84,Voluntary_OutcomeOnsetReportSound,9,Theta,1.9257032717197216
2,chan83-chan84,Voluntary_OutcomeOnsetReportSound,10,Theta,0.6846466014380236
2,chan83-chan84,Voluntary_OutcomeOnsetReportSound,11,Theta,3.558744148016286
2,chan83-chan84,Voluntary_OutcomeOnsetReportSound,13,Theta,5.01433746102971
2,chan83-chan84,Voluntary_OutcomeOnsetReportSound,14,Theta,6.112083237252896
2,chan83-chan84,Voluntary_OutcomeOnsetReportSound,15,Theta,4.310975934173236
2,chan83-chan84,Voluntary_OutcomeOnsetReportSound,17,Theta,4.1140730299303945
2,chan83-chan84,Voluntary_OutcomeOnsetReportSound,18,Theta,6.042238657340503
2,chan83-chan84,Voluntary_OutcomeOnsetReportSound,19,Theta,1.1104147815354557
2,chan83-chan84,Voluntary_OutcomeOnsetReportSound,20,Theta,5.671499297145611
2,chan83-chan84,Voluntary_OutcomeOnsetReportSound,21,Theta,2.8033907310316097
2,chan83-chan84,Voluntary_OutcomeOnsetReportSound,22,Theta,1.6863084049634398
2,chan83-chan84,Voluntary_OutcomeOnsetReportSound,23,Theta,2.2898212841317545
2,chan83-chan84,Voluntary_OutcomeOnsetReportSound,24,Theta,2.4249569424043163
2,chan83-chan84,Voluntary_OutcomeOnsetReportSound,25,Theta,2.8820704669558666
2,chan83-chan84,Voluntary_OutcomeOnsetReportSound,26,Theta,0.07090983971536519
