subject,label,condition,trial,meanAmplitude,Alpha_bandPower,Beta_bandPower,Delta_bandPower,Theta_bandPower,Alpha_bandITPC,Beta_bandITPC,Delta_bandITPC,Theta_bandITPC
2,chan83-chan84,Voluntary_OutcomeOnsetReportSound,46,-1.2243313753317226,11150.088127049508,3687.4481808275636,91735.95998063558,42890.90432789827,0.13059228228969022,0.14458363798588914,0.2879264757801729,0.09168519670653305
2,chan83-chan84,Voluntary_OutcomeOnsetReportSound,47,18.473439958381658,25664.96959560892,11656.929858842283,205778.64881407964,35865.56996267884,0.13059228228969022,0.14458363798588914,0.2879264757801729,0.09168519670653305
2,chan83-chan84,Voluntary_OutcomeOnsetReportSound,48,11.566957914178824,51629.49613972246,4123.681671075037,3455.013981147333,45425.72204267312,0.13059228228969022,0.14458363798588914,0.2879264757801729,0.09168519670653305
2,chan83-chan84,Voluntary_OutcomeOnsetReportSound,49,-12.908300337031363,17139.74628821129,2501.108312512546,7049.628969618612,7383.744479849747,0.13059228228969022,0.14458363798588914,0.2879264757801729,0.09168519670653305
2,chan83-chan84,Voluntary_OutcomeOnsetReportSound,50,-12.66305449286268,22246.404385792437,4811.296459719768,76354.75982103376,16409.628898347222,0.13059228228969022,0.14458363798588914,0.2879264757801729,0.09168519670653305
2,chan83-chan84,Voluntary_OutcomeOnsetReportSound,51,39.43512887130496,20658.92787297063,7058.867691567173,52063.71974513184,41676.02821790286,0.13059228228969022,0.14458363798588914,0.2879264757801729,0.09168519670653305
2,chan83-chan84,Voluntary_OutcomeOnsetReportSound,53,-8.389320888540327,11507.673795719453,3944.1199847129496,243015.5164798773,79045.25548750916,0.13059228228969022,0.14458363798588914,0.2879264757801729,0.09168519670653305
2,chan83-chan84,Voluntary_OutcomeOnsetReportSound,54,-9.136373011578005,19292.35167224521,3062.724321786431,95159.0018673124,118600.2953823795,0.13059228228969022,0.14458363798588914,0.2879264757801729,0.09168519670653305
2,chan83-chan84,Voluntary_OutcomeOnsetReportSound,55,8.096820978145207,16906.104227974844,3120.4170574274117,5779.555680181452,51896.242695999565,0.13059228228969022,0.14458363798588914,0.2879264757801729,0.09168519670653305
2,chan83-chan84,Voluntary_OutcomeOnsetReportSound,56,16.09455517962609,21727.626694332303,11176.520775930061,38684.202378913455,9840.009401525103,0.13059228228969022,0.14458363798588914,0.2879264757801729,0.09168519670653305
2,chan83-chan84,Voluntary_OutcomeOnsetReportSound,57,-20.84967450076855,7596.187521810699,3217.8955374546763,65886.77626801397,79086.63022929593,0.13059228228969022,0.14458363798588914,0.2879264757801729,0.09168519670653305
2,chan83-chan84,Voluntary_OutcomeOnsetReportSound,58,16.945449654990455,31859.282026781493,5276.534694090538,154040.1405332335,102175.64073914372,0.13059228228969022,0.14458363798588914,0.2879264757801729,0.09168519670653305
2,chan83-chan84,Voluntary_OutcomeOnsetReportSound,59,6.219358548106083,5558.072218233401,3274.262860267219,26971.548301169034,36649.56435280586,0.13059228228969022,0.14458363798588914,0.2879264757801729,0.09168519670653305
2,chan83-chan84,Voluntary_OutcomeOnsetReportSound,60,-20.795928536925437,22441.09793205422,2019.5387495874238,42254.01153208667,29549.436932972185,0.13059228228969022,0.14458363798588914,0.2879264757801729,0.09168519670653305
4,chan10-chan11,Involuntary_OutcomeOnsetReportSound,2,-21.85439607930232,10912.893442186043,7967.406842562103,70853.2932446393,62159.221167517535,0.06299506881960892,0.10787071043788703,0.134326855310189,0.08967118698197324
4,chan10-chan11,Involuntary_OutcomeOnsetReportSound,3,-8.753967266626177,26261.6915124149,4827.982023265897,119866.67005749307,42352.20941203465,0.06299506881960892,0.10787071043788703,0.134326855310189,0.08967118698197324
4,chan10-chan11,Involuntary_OutcomeOnsetReportSound,4,7.776080977614155,6668.217442676078,6241.59315433745,4967.118371652331,9311.770255882378,0.06299506881960892,0.10787071043788703,0.134326855310189,0.08967118698197324
4,chan10-chan11,Involuntary_OutcomeOnsetReportSound,5,-22.7737989528768,12036.324302341887,7279.370259347427,164493.44176950632,32012.924471083552,0.06299506881960892,0.10787071043788703,0.134326855310189,0.08967118698197324
4,chan10-chan11,Involuntary_OutcomeOnsetReportSound,6,19.620736035369077,21929.52399452172,10117.871384667547,9903.2762019445,7439.417585256605,0.06299506881960892,0.10787071043788703,0.134326855310189,0.08967118698197324
4,chan10-chan11,Involuntary_OutcomeOnsetReportSound,7,-37.731476118412914,38752.85349014215,9925.093502221735,22820.805011730456,90967.298743025,0.06299506881960892,0.10787071043788703,0.134326855310189,0.08967118698197324
