subject,label,condition,trial,meanAmplitude,Alpha_bandPower,Beta_bandPower,Delta_bandPower,Gamma_bandPower,Theta_bandPower,Alpha_bandITPC,Beta_bandITPC,Delta_bandITPC,Gamma_bandITPC,Theta_bandITPC
2,chan64-chan65,Involuntary_OutcomeOnsetReportSound,50,8.62131026998824,5445.13163176893,711.9372960620344,10458.28058418617,169.20598142987933,15351.764567683593,0.09881885615487626,0.10195318731742502,0.19366548860473834,0.13280107762607815,0.17972596319036874
2,chan64-chan65,Involuntary_OutcomeOnsetReportSound,51,-9.644584704727968,7015.198570646562,8451.901916162748,12425.190157362227,2810.7861071853476,16814.874382782345,0.09881885615487626,0.10195318731742502,0.19366548860473834,0.13280107762607815,0.17972596319036874
2,chan64-chan65,Involuntary_OutcomeOnsetReportSound,52,233.36980433665622,11702.590006842838,12239.977471420949,215332.4335584681,6545.510785187488,12936.722828520335,0.09881885615487626,0.10195318731742502,0.19366548860473834,0.13280107762607815,0.17972596319036874
2,chan64-chan65,Involuntary_OutcomeOnsetReportSound,53,-10.0482177529391,3185.327071791545,982.7225602680971,22828.518227382676,355.51191051239607,10968.078576698923,0.09881885615487626,0.10195318731742502,0.19366548860473834,0.13280107762607815,0.17972596319036874
2,chan64-chan65,Involuntary_OutcomeOnsetReportSound,54,9.048376534004296,22508.044593928596,3749.259415463074,1954.1419214946031,400.9837694089972,15529.128851846144,0.09881885615487626,0.10195318731742502,0.19366548860473834,0.13280107762607815,0.17972596319036874
2,chan64-chan65,Involuntary_OutcomeOnsetReportSound,55,9.55627599106498,8084.277896864496,816.1244801516469,18518.955809476705,181.25151583611637,23449.86084036516,0.09881885615487626,0.10195318731742502,0.19366548860473834,0.13280107762607815,0.17972596319036874
2,chan64-chan65,Involuntary_OutcomeOnsetReportSound,56,37.37183748908438,14487.355148298126,5828.289595232633,5512.5070357882505,216.09579198626648,8098.87141448935,0.09881885615487626,0.10195318731742502,0.19366548860473834,0.13280107762607815,0.17972596319036874
2,chan64-chan65,Involuntary_OutcomeOnsetReportSound,57,54.65630410166804,14075.259744608451,3450.4541848045924,105251.68771742229,549.6866594092828,39372.844789027804,0.09881885615487626,0.10195318731742502,0.19366548860473834,0.13280107762607815,0.17972596319036874
2,chan64-chan65,Involuntary_OutcomeOnsetReportSound,58,-25.23375880032495,2310.580375434208,1083.7327924043618,86273.01021562763,114.50399626927337,6344.391581550644,0.09881885615487626,0.10195318731742502,0.19366548860473834,0.13280107762607815,0.17972596319036874
2,chan64-chan65,Voluntary_OutcomeOnsetReportSound,1,-31.85974107619702,4104.559883591205,1546.6472987591035,9049.429198608863,281.08538383845735,5454.5887363168895,0.12386760522029905,0.12130908851383537,0.14397022790058778,0.11000480636537872,0.13231710472339386
